Topic,Count,Name,Representation,Representative_Docs
23,105,23_the_constitution_of_amendment,"['the', 'constitution', 'of', 'amendment', 'states', 'to', 'it', 'that', 'and', 'in']","['&gt; The U.S. Constitution has been amended 27 times, an average of once every 8.6 years.\n\nWhile technically true, this is a deceptive statement. The first 10 amendments were written almost immediately after the Constitution was ratified. So more like every 13.6 years for the final 17. But still, that is deceptive, because the amendments came in clusters.\n\nThe last amendment was done in 1992, **30 years ago**, but was a semi-stunt, having been proposed in 1789, ratified by 7 states right out of the gate, one more in 1873, and then the rest in 1978-1992. \n\nThe 26th Amendment was done in 1971, **51 years ago**. This lowered the voting age to 18, and was spurred by the fact that 18-year olds were being drafted and sent to Vietnam.\n\nThe 25th Amendment was done in 1967, **55 years ago**. This handled presidential succession, and was spurred by JFKs assassination.\n\nThe 24th Amendment was done in 1964, **58 years ago**. This prevented poll taxes, and was done in response to the Civil Rights crisis of the mid-60s.\n\nThe 23rd Amendment was done in 1961, **61 years ago**. it gave people living in Washington DC the right to vote in presidential elections, a significant oversight, but ostensibly also a civil-rights issue, since over half the city was black.\n\nSince the 27th Amendment was originally proposed in 1789, putting it aside, it has been over 50 years since a constitutional amendment has been proposed. This is a much more dramatic number than the 8.6 ""average"".', ""I would argue that they are actually arguing for the latter option as this is usually a comment made in response to why an institution holds anti-popular stances.  \n\nAlso because option 1 is tautologically impossible.  It would require redistributing the population across the 50 states which neither the people nor the states want to happen. That is the *only* way that the representation would again be reflective of the actual population over the long term. A short term consensus could form in the event that the populous and the less populous states just *happened* to agree on a bunch of things, but if they ever started to diverge there would again be no built in way of reining in a tyranny of the minority. \n\nIMO because of this, people who say “well this is a republic of *states*, not *people*” are just daring history to have the federal government in DC overthrown in favor of a more representative government.\n\nEdit: Those who make peaceful change impossible make violent Revolution inevitable.\n\nI should probably be clearer in that I am not *pushing* for a revolution of that kind, but rather simply to say that historically speaking this kind of thing does not remain out of whack for long.  If people value the constitution then they need to work to change it so that the US government better represents it's entire population rather than just it's 50 polygons on a sphere.  If we don't then it *will* be changed, only *without* their input, given time."", '&gt;The constitution itself was based on broad agreement and debated throughout the country. If we had anything like that level of national agreement, you\'d be right. But we don\'t. We must use the constitutional means of amendment, or all is lost (literal fighting).\n\nYeah, I\'m done with tyranny of the minority. I don\'t respect the ""rule of law"" because in this case, the rule is absolutely fucked and being weaponized by a propaganda-poisoned minority.\n\n&gt;As such, both tribes must come to a realization that they must genuinely engage with the views of the other. \n\nNo.\n\n&gt;Nobody can rip any other view ""out from the root"" and think this can be done in a peaceful manner. \n\nThis SCOTUS court and Seante BSery is pushing us closer and closer to a non-peaceful resolution.\n\n&gt;We are stuck with each other in our mutual discontents. Not a pleasant reality, but reality nonetheless.\n\nNo. We have a moral duty to not follow unjust law and break systems of disenfranchisement and oppression.\n\n&gt;&gt;That whenever any form of government becomes destructive to these ends,\xa0it is the right of the people to alter or to abolish it\n\nNote how it says it is the right of ***the people***, not a right of the states or a right of 3/4 of the states? Our written rule of law is trumped by the right of ***the people*** to remake their government if it isn\'t doing it\'s job.']"
24,100,24_healthcare_insurance_health_to,"['healthcare', 'insurance', 'health', 'to', 'care', 'the', 'for', 'of', 'universal', 'you']","['Regarding healthcare expenses, the US spends more per capita than any other industrialized country - all of which all have some form of universal healthcare. Granted, those all look pretty different in how they do that. But the reality is that Americans are paying for each other’s healthcare already. That’s exactly what insurance is. The question is, do we want to keep paying for it this way? Or another, more cost efficient way, where everyone gets access?', ""So, To pay for it would be a 6 or 7 percent Payroll Tax for all Employees \n\nBut, Private Insurance represents 58% of US Adults.  The [typical person](https://www.healthsystemtracker.org/household-health-spending-calculator/?_sft_hhsc_insurance=employer&amp;_sft_hhsc_size=single&amp;_sft_hhsc_income=average&amp;_sft_hhsc_health=average-health) with employer coverage, spends 3% - 6% of their income on health insurance and Out of Pocket Costs\n\nSo those paying 3 or 4 or 5 percent would see a higher costs\n\n-----\nThen, add in 70 million Americans get free healthcare from a Socialized Single Payer Program of Medicaid\n\n* Medicaid has very low costs to enrollees as few place are allowed to bill out of pocket and Costs are from State Budgets with no single tax attached.  \n\nThat's 70 million people paying more\n\n-----\nBut of course not everyone has insurance, 27.5 million, did not have health insurance at any point during the year\n\n   * There are 5.1 million people that make over $100,000 that are uninsured.\n   * There are 9.1 million people that make $50,000 - $100,000 that are uninsured\n   * There are around 4.5 million people who were uninsured in 2018 and making between $25,000 - $50,000 and could not afford insurance or qualify for Medicaid as the most common reason for uninsured  \n\nSo that's ~100 million people paying 0 for healthcare, and 155 Million people on Private Insurance with Most of them in a 3-6 percent of income expenses."", ""&gt;There are so many reasons why a state cannot do universal healthcare. **They don’t have control of the regulations** and they don’t have any mechanism for handling people who move to the states for healthcare that will survive a court challenge plus they don’t have a guarantee that the federal government will give them back all the healthcare dollars under its control.\n\nThis is key. Single-payer is essential to health care reform, but it's not a silver bullet. It would largely reduce administrative costs and free up money that would otherwise just be profit for insurance companies, but actual cost of care will still be high if we aren't also reforming the hospital system and the drug market. That decidedly takes national action.""]"
25,98,25_evangelicals_the_are_they,"['evangelicals', 'the', 'are', 'they', 'religious', 'and', 'to', 'of', 'christian', 'is']","['&gt; That is some industrial-grade insecurity in that set of white Christian men\n\nIt\'s not a trait reliant on christianity, but on conservatism. [Practicing Christians can and do point out and fight back against the hypocrisy](https://www.goodreads.com/quotes/10357009-the-unborn-are-a-convenient-group-of-people-to-advocate). I feel this is important to point out because [Modi and his coalition are much the same in India as republicans are in the US](https://en.wikipedia.org/wiki/Bharatiya_Janata_Party) and you\'ll see the same gist espoused by the [hindutva - a purist ""India for Hindus* only""](https://en.wikipedia.org/wiki/Hindutva). If you let your focus fall on the religious sect, it allows authoritarianism to side-step into a different mask and might recruit you for its next wave. The authoritarianism is the point which is most dangerous to society at large, and [practicing Christians absolutely can](https://www.cbsnews.com/news/70-catholic-protesters-arrested-in-washington-dc-demonstration-against-trump-immigration-policies/) and should be sought as allies against authoritarianism.\n\n&gt;In every age it has been the tyrant, the oppressor and the exploiter who has wrapped himself in the cloak of patriotism, or religion, or both to deceive and overawe the People.\n\n-Eugene V Debs', ""I mean, the GOP has no policy other than causing as much harm to as many people (especially if they are not straight, cis-male, white, rich Protestants) as possible, so obviously they would try to repeal policy that helps their voting base. They are just smart and cruel enough to lie about how the thing they are fighting against isn't the thing that people are relying on and won't have a plan for how to survive if it goes away. \n\nJust like how they had been proposing cuts to Social Security for years while pretending they are defending it, a huge segment of their voters need it to survive but that doesn't stop them from trying to inflict harm on their voters, it just stops them from being honest about their intentions.\n\nBecause cruelty is the only thing that ~~the fascists~~ conservative politicians want. It's the point."", ""&gt; Hispanics are starting to trend more Republican now.\n\nThis isn't true either. Republicans are doing their best to meme this into reality because they know a lot of Mexicans are religious, and they've worked with the religious before. What they don't understand is that, while many hispanic voters may oppose abortion, they don't oppose laws protecting abortion. It's like the memes saying Cubans are Republicans because they hate communism - they also know what communism actually is and know that Democrats aren't pushing for. That kind of disinformation only works on American conservatives.\n\n&gt; if you actually look at the numbers and see the percentage of the Hispanic vote Republicans have been receiving has gotten larger over the last 10 years.\n\nStill a small minority. It's very weird that adherents to this theory are so adamant about looking at the trend, but won't believe the data.""]"
26,96,26_crime_police_the_cops,"['crime', 'police', 'the', 'cops', 'to', 'that', 'and', 'in', 'of', 'it']","['The mayoral candidates in nyc have to face the reality they live in-crime is and always has been an issue. Activists were able to successfully convince a decent number of people “ALL COPS ARE BASTARDS” so you had police throw up their hands and leave. As a result, crime has risen. It’s the same story in a lot of cities. It’s also not at all surprising. \n\nNationally, dems were never on the defund the police train, outside of the fringes like the squad. They have been and continue to be on the reform front. Confronting crime and reforming police are not mutually exclusive. \n\nWhat this says about their priorities? Nothing. A local politician campaigning on a local issue that’s important to local voters, and in line with the national parties agenda isn’t surprising.', '&gt; Crime is up since the all-time lows we had before the pandemic. Even a moderate increase can be shocking after over two decades of declines. \n\nThis is the answer. Crime may currently be lower now than the peak of the crime wave of the 80\'s and 90\'s, but it\'s still trending upwards over the last few years. \n\nYou don\'t need a degree in criminology or statistics to think that the [trend since 2015](https://www.macrotrends.net/countries/USA/united-states/crime-rate-statistics) is not good. Statements such as ""it\'s not as bad as the 90\'s"" is just deflection from a very real, very serious, and very growing problem. \n\nIt\'s almost as if the speaker (OP plus many others) don\'t think anyone should care about it until it gets back to the 90\'s, and *then* we\'re somehow permitted to care about it. That may be how things are being treated by some rhetorically, but I think the obvious answer is that the deflection is an attempt to sweep away a very real problem that many on the left really, really don\'t want to talk about.\n\nThe problem is that crime rates aren\'t something you can sweep under a rug.', ""I'm having trouble finding national statistics for 2020 or 2021 (FBI hasn't even released their yearly report for 2020 yet?).\n\nBut even if they increased from 2019 they would just likely be in line with the (higher) crime rates from 2015-2018. 2019 had a very low crime rate. Not to say a yearly increase isn't bad, but it isn't necessarily anything out of the realm of normal. If we weren't losing our minds about crime and/or blaming BLM/activists a few years ago when the rate was the same, I'm not sure we should be now. Unfortunately my googling only led me to 2020/2021 data from cities and not national.\n\nPeople's perceptions about crime are also inaccurate. [There is a documented trend of people believing that national crime rate is up even when it is actually down](https://www.pewresearch.org/fact-tank/2020/11/20/facts-about-crime-in-the-u-s/). Probably due to the news scaring them.""]"
27,83,27_marijuana_drugs_drug_legalization,"['marijuana', 'drugs', 'drug', 'legalization', 'it', 'to', 'cannabis', 'is', 'the', 'you']","['The President has to follow the process as outlined by the Controlled Substance Act. Biden has instructed the Attorney General and HHS Secretary to start the process:\n\n> I am asking the Secretary of Health and Human Services and the Attorney General to initiate the administrative process to review expeditiously how marijuana is scheduled under federal law.  Federal law currently classifies marijuana in Schedule I of the Controlled Substances Act, the classification meant for the most dangerous substances.  This is the same schedule as for heroin and LSD, and even higher than the classification of fentanyl and methamphetamine – the drugs that are driving our overdose epidemic. \n \nhttps://www.whitehouse.gov/briefing-room/statements-releases/2022/10/06/statement-from-president-biden-on-marijuana-reform/\n\nNow, the FDA and DEA have to decide if there is enough scientific evidence to warrant a change in marijuana’s federal status.', ""In North Carolina its usually Republicans who vote No to legalizing medical Marijuana. They will be the same to vote against recreational. Sorry sons of bitches lol\nOver 60 % of the people want the shit legalized. I think its more near 70%.\nNot a fan of republicans this day and age. Stubborn sons of guns\nIndependent here thats been smoking Marijuana for 30 yrs and I still believe it needs to be legal and stop throwing these people in prison. Home cultivation like in Colorado would be fair. When I lived in Colorado the black market was almost half the price of the rec stores, mainly from the hefty taxes on it. \n\nMarijuana is a medication. Good for sleep, anexity, relaxation, loss of appetite and expanding your mind.\n\nI'm for being strict for people underage of 18. \nDoes not mix well at school and too soon to try it anyways. I just don't want to see legalization create tons of youngsters getting involved to early. Must focus on education.\n\nSorry I went rambling on but I've been waiting for legal weed for near 30 yrs. Sucked back in the day bobbing and weaving the law over some grass. Felt like a criminal because I smoked but knew I wasn't just was socities laws.\n\nThx for reading"", 'Decriminalized? Very likely, legalized? Possibly.\n\nIt needs to be done. I live in Pennsylvania, where we have legalized it for Medical Use. I have some issues where I might benefit from it. \n\nDISCLAIMER: I used to smoke recreationally as a teen/young adult\n\nBut, I am also a gun owner. If you have a MM card, that technically makes you ineligible to own a gun....because cannabis is still a Schedule 1 drug at the Federal level. I am not saying that the Pennsylvania State Police and/or Federal agencies are enforcing this..but if push came to shove, they COULD cross reference people with MM cards and their gun registration status.\n\nIf cannabis were to be taken off of the Schedule 1 designation(decriminalized), it would make a huge difference to many people. Personally, I think it should be legalized, taxed and regulated.\n\nI know, some of you might say...just get it off the street. Well, you see... there is another problem. The reason I stopped smoking was because it started to induce full blown panic attacks in me. I have done some research on this and some people don’t have much of a tolerance to high THC Sativas...I THINK I fall into that category of people. The recommendation is to use lower THC/ higher CBD Indicas. When you’re getting it off the street, you get what you get. If it were legal, I could walk into a shop, talk to a knowledgeable person and purchase a strain that would be therapeutic for me.']"
28,68,28_impeachment_impeached_the_to,"['impeachment', 'impeached', 'the', 'to', 'that', 'if', 'impeach', 'they', 'it', 'of']","['I think it\'s been shown nowadays that impeachments don\'t really mean anything if the senate doesn\'t follow through. The impeachment of Trump kind of means nothing more than a footnote that a bunch of democratic reps thought he met the criteria for impeachment.\n\nI\'ll clarify too. I think he should have been impeached, and do not equate a ""both sides"" mentality if Republicans tried to impeach Biden. But I think impeachment largely means nothing to people nowadays if the Senate won\'t move through with it.', ""&gt; They don’t have the votes\n\nThey might not care. The goal wouldn't even be impeachment—it would just be to undermine the two separate times Trump was impeached by implying that trying to impeach a president is just something you do when you have the votes. \n\nWhat better way to make their own presidents immune from consequences than to make sure no one takes the concept of impeachment seriously?"", ""The very 1st impeachment of a president was Andrew Johnson and the way they did was via creating a law, that was later found to be unconstitutional, that was designed for Johnson to break and to give them a reason to impeach and possibly remove him from office.\n\nThat was a purely political move to its core and that's what impeachment is, a political move.\n\nA president doesn't need to have actually committed a crime to be impeached, just that Congress thinks that the president shouldn't stay in office.\n\nIf Nixon hadn't resigned, he would have been impeached and convicted by the Senate but I think that Ford would have still pardoned him, so that could have been considered an attack on democracy, as Nixon wouldn't have been found guilty by a court.\n\nPlus the legal process takes a long time, Trump was only just charged for a crime against Stormy Daniels, which took place back in 2016, so just because he hasn't been charged yet, doesn't mean he won't.\n\nMy main point being is that a president being impeached isn't an attack on democracy.""]"
29,63,29_manchin_sinema_west_virginia,"['manchin', 'sinema', 'west', 'virginia', 'the', 'bill', 'and', 'to', 'he', 'democrats']","['I don\'t see how he has anything to do with it.  Reconciliation is a way for the house to tack things on *after* the Senate passes the bill.\n\nHe\'ll either vote for it, or he won\'t.  It\'s not like the whole process negotiates with Manchin in any scenario.\n\nWhat this does do, is keep Manchin\'s name in the news as an opposition figure, which is the only thing that will matter.  It\'s theater. \n\n""Oh Manchin?  He\'s against big spending, saw it in the news, and that\'s why he\'s got my vote.""\n\nSusan Collins plays this game all the time.', 'People aren’t giving Manchin proper agency here.  \n\nManchin is telling Biden “do this and make it overwhelming obvious that we are negotiating in good faith and Republicans are refusing any compromise.  And then I’ll agree to do that with you in reconciliation to pay for the infrastructure and...”  \n\nManchin is working with Biden to make sure Republicans have a genuine chance to compromise with Democrats.  Republicans don’t even need to vote for the final bill, they just need to agree to not filibuster it.\n\nAnd if they won’t, Manchin will do X.  And Biden knows what X is already.  \n\nManchin expects them to TRY to compromise in good faith BEFORE going around the filibuster.   And that’s it, he’s got a finish line and when they cross it the race is over.', 'Manchin does not need to be redeemed by Democrats. Manchin doesn’t have to give a damn about “Democrats”.\n\nManchin needs to worry about a very freakish situation in which he is able to get elected in a state that Trump wins by 32 points.\n\nIf Shelley Moore Capito was not Arch Moore’s daughter she wouldn’t be able to run and win as a Republican for that matter. \n\nFor a number of reasons Joe Manchin is the least likely member of the senate to be holding a seat. He care about doing whatever he’s doing that makes him win. And about the personal and familial gain that gets him. \n\nSome democrats can be as mad as they want about Joe Manchin but there are  50 Republicans plus an entire system that favors land over people that are more deserving of that anger. If someone hasn’t figured out that Manchin isn’t the problem and avoiding Senate Majority Leader Mitch McConnell is reason enough to want him in the party yet, they aren’t going to change because of this.']"
30,63,30_filibuster_the_to_senate,"['filibuster', 'the', 'to', 'senate', 'it', 'majority', 'they', 'veto', 'democrats', 'that']","['> The filibuster was used in the first session of the senate. But then there was no way to stop the filibuster.\n\nThat\'s not true. The Senate had the ""previous question"" rule to limit debate.\n\n> The filibuster that is brought up today as being added to the senate rules, was don\'t to allow the blockage, unless a super majority against it existed.\n\n\nI\'m not sure what this means.', 'And this ‘power” you’re referring to is implementing the policies that the populace appointed you to fulfil? And um..  why not? That’s how every state without a filibuster, how every other democracy on the planet, and how THIS country operated BEFORE the senate made up the filibuster by accident (which means it IS a big, and not a feature).\n\nThink of it this way. If the filibuster was removed today and the gop somehow ended up with a trifecta and they said “alright guys so we’re banning abortions everywhere, defunding social security education and healthcare, gay people can’t get married anymore and trans people can’t transition” what exactly do you think their chances are of keeping that trifecta in that next election or gaining one in any foreseeable future? \n\nSee, that’s called being held accountable by your constituents. It’s why the ACA repeal failed and it’s why despite all this “letting the parties legislate with no filibuster will just cause them to undo everything from eachother and we’ll descend to chaos!” Bs, this never actually occurs at LL In literally every other country in the world and a large chunk of our states without filibuster.\n\nAt the end of the day, this argument is nothing but “I don’t want to do what most people want to do so I should have the right to stop them because I prefer what I want” and nothing else.', 'Can we bring back the actual filibuster?\n\nIf someone wants to filibuster, they have to actually stand in the senate chamber and speak, they can hand off to another Senator, but if no Senator is available to keep filibustering, then a vote is called.  Note, filibusters are 24/7 events.\n\nIt forces people to mean it when they filibuster, and will make sure that the entire nation will focus on the subject of the filibuster, which can make one side really uncomfortable based on how the public feels about the subject.\n\nFilibuster a bill to rebuild US infrastructure, you slowly lose support for the filibuster. Filibuster a bill to make abortion illegal, 70% of the country starts yelling at the party trying to pass the law snd a lot of women vote in the next election.\n\nHeck, if the public supports your position, doing an actual filibuster will help your cause.  Handing the Senate majority leader a piece of paper saying ""we are filibustering X"" and having the Senate vote to allow it is silly.']"
31,58,31_mccarthy_to_he_speaker,"['mccarthy', 'to', 'he', 'speaker', 'the', 'his', 'house', 'him', 'caucus', 'they']","[""Yeah. Sure, Dems lost the House, and that obviously sucks, but the make-up of this Congress is a great consolation prize.\n\nMcCarthy is screwed either way. If he wants the nuts on board, he'll need to give concessions, and a lot of the stuff they're asking for is... uh, not great for him, to say the least. They want every member to be able to call a Motion to Vacate vote literally whenever (so his job is never safe and the House can vote to get rid of him whenever he makes Gaetz or MTG or Biggs upset), they want committee members to vote for their chairmen (so he can't put his own people at the helm), they want to make it easier for bills to be brought to the floor (so leadership can't block objectively bad, nutty votes), etc.\n\nAnd if he gives in to the crazies, he's alienating the moderates, giving them even more incentive to work with Dems. I really don't wanna be too bullish on this because this kind of dissent usually dies down before January, but even if McCarthy wins on the first ballot, there's a semi-realistic scenario where Jeffries is, for all intents and purposes, Shadow Speaker thanks to the Biden 16 and McCarthy selling his soul to the HFC."", ""Don't forget that the House is holding together by a thread. The speaker vote made them into a laughingstock, especially on the penultimate, when they were talking about how great McCarthy was and how he knew the caucus well and the chaos was actually Democracy at work and McCarthy preemptively celebrated on Instagram... And then it failed. Huge egg on the face moment. \n\nThose deals with the devil might be coming back to haunt McCarthy too. According to reports, his own leadership team is in chaos. It increasingly looks like they might not even have a budget proposal because they can't agree on one. McCarthy is already publicly blaming one of the other Republicans, which is atypical for him. \n\nWe may very well see more speaker votes soon."", ""To be fair, I think this threat is a little overblown, which is why McCarthy agreed to it.  It has a high potential to continue to embarrass McCarthy, but I think a low potential to actually remove him.\n\nAny one member can initiate a motion to vacate, and they wouldn't need any support, and they have rules which would force the house to take it up.  But then it still goes to a vote of the full house, which means they'd still need 5 members to align with all democrats to remove McCarthy, and then start another floor fight for a new speaker with no real consensus.  \n\nShort of a new GOP darling stepping up to steal the speakership from McCarthy with the backing of both the fringe right and all democrats, this is a fairly empty threat.  \n\nBut it means any one member can call out McCarthy on the floor, any day that congress is in session, and very publicly say you're not doing the job and we're going to make everyone vote on it.\n\nThis is exactly what happened to Boehner.  The Tea Party wanted him out, and the democrats firmly said they're not interested in helping because whoever replaced him would be even less desirable.  But Boehner took it as a critical condemnation of his performance and later stepped down anyway.  I don't think McCarthy has even that much dignity, and would never walk away no matter how humiliated he is.""]"
32,56,32_florida_state_is_in,"['florida', 'state', 'is', 'in', 'the', 'and', 'red', 'it', 'that', 'to']","['I think those are almost conflicting comments but I agree. \n\nI think the Florida Dems are incompetent but I actually place a lot more blame on National. The DNC comes in every four years and dumps money in for a few months and brings in external consultants and staffers who don’t know the state and then after they lose, they bail out and say Florida is a lost cause. And that leaves the state party with no resources and an operation that they don’t know how to run - because every four years when they do have resources, they get pushed aside for someone from D.C.  Republicans like you said, are here year round and as much as I hate it as a Democrat, they know what they’re doing. \n\nWe do need a Stacey Abrams of our own and I don’t see who that can be. Maybe Eskamani? But I don’t see her making moves anywhere near the magnitude needed. \n\nMy big fear is that Democrats have taken the exact wrong message from Georgia. Ie it seems now their move is to just throw money at Georgia because it’s a blue state now. Versus taking the actual lesson on how it became blue and investing in that strategy in other states that can carry big gains, like Florida.', ""I mean given the funding that would have gone into Florida almost certainly made a winning impact in the states Joe Biden needed to win to win the Presidency, House, and Senate in 2022, the National Party made the right decision, as much as I don't like to say it as a Floridian citizen. It just doesn't make sense to reach for Florida when other more competitive states are in play for at a cheaper cost. I think there will be a more serious challenge on the statewide level in 2024 when Florida is one of the better states to challenge for Democrats (Florida and Texas are the most competitive R states)."", 'To be honest, I don’t think Florida is a “solidly” red state. It’s just that the Florida Democrats are seriously incompetent. One of the main reasons Ron DeSantis won by a landslide in 2022 was because of low Democratic turnout. The Florida Dems chose Charlie Crist, a former GOP governor, as their nominee. Obviously he was exciting to nobody. Turnout dropped by 9%, from 62% in 2018 to 53% in 2022. The Florida Democratic Party needs serious change if they want to win the state.']"
33,56,33_asian_asians_affirmative_admissions,"['asian', 'asians', 'affirmative', 'admissions', 'students', 'aa', 'action', 'americans', 'legacy', 'to']","['\nSpeaking as an Asian American, Asian vote is pretty simple:\n\n- First generation Asian Americans are big on 2 things: crime and education. They are apathetic/fatalistic about pretty much everything else. But if you fail to protect the neighborhood from crime or mess with merit-based academic systems, they will become politically active. The focus on crime is self explanatory (Asians are seen as easy targets for crime, the community is built around local small businesses that need protection, and people stabbing grandma is NOT cool). The focus on academics is because  it is seen as the only way to advance in society - poor parents would literally go hungry to get their kid extra tutoring. You mess with either one, the community will turn hard on you.\n\n- Subsequent generations of Asian Americans, especially the college-educated, skew liberal. But less strongly because people generally do not believe that either party cares much about Asians.\n\n- Also, most Asians are anti-war, given that many families ended up in America after fleeing war. They did not support the Iraq war and all the war hungry talk regarding China in the last few years is highly unpopular.', ""Yes, because Asians are so stupid that they can't think for themselves and need a white person to think for them. Jesus Christ, the kind of racist logic people employ against Asians to deny the existence of anti-Asian racism is next-level.\n\nEDIT: OP deleted his posts, but the rest of the comment chain shows that they were repeatedly arguing:\n\n- that the data proving racist admission evaluation wasn't real evidence\n\n- that rejected Asian students were just too boring for Harvard.\n\n- that Asians were being lied to by white people and supporting white racism. \n\n- More shitting on Asians while claiming to be Asian themselves.\n\nAnd so on.Basically, trending further and further towards right-wing talking rhetoric. I think that says a lot about some of the rhetoric surrounding the people defending Harvard's policies. \n\nTo be clear, the goal of equity is admirable, but the use of racist policies is not. It's really quite that simple."", "">AA does not inherently disfavor Asians, in fact various Asian groups particularly from underrepresented communities benefit from it. Bias in the admissions process is a problem of racism, not AA\n\nAnd AA frameworks which rely on race as a deciding factor and systematically discriminate against a race are racist. Note that the SC decision specifically stated that race can still be factored in, it just cannot be used as a cudgel against specific races, as it was. \n\n>Good thing I’m not white then, eh? I happen to be Asian myself, one that doesn’t benefit from AA. I was hoping I wouldn’t have to bring that up. \n\nCool story, me too. Why you thought this was relevant, I'm not sure.\n\n> But anyway, there is a bigger picture here that a lot of people aren’t seeing, and it is that Asians are being used by white people to deny progress for other minorities. Whether it’s college admissions, crime, economic assistance, etc. I see right through it all.\n\nGood for you. Not related to whether anti-Asian racism was involved in this case (spoiler: it was).""]"
